image_id,lesion_type,dice,iou,precision,recall,specificity,image_level_tp,image_level_fp,image_level_fn,image_level_tn,expert_pixels,detector_pixels
IDRiD_13,HE,0,0,0,0,0.998466916778674,1,0,0,0,37412,18665
IDRiD_14,HE,0.0591469757764898,0.0304747320061256,0.104058565624874,0.0413153187683659,0.998166689822421,1,0,0,0,62616,24861
IDRiD_15,HE,0,0,0,0,0.999807191558299,1,0,0,0,3215,2354
IDRiD_16,HE,0,0,0,0,0.999528193609726,1,0,0,0,18663,5753
IDRiD_17,HE,0.0177238270024401,0.00894114919196073,0.691273465246068,0.00897699583050114,0.999297269861654,1,0,0,0,1821322,23652
IDRiD_18,HE,0,0,0,0,0.999222841738043,1,0,0,0,89854,9421
IDRiD_19,HE,0.0914654467234223,0.0479244384474958,0.88533724340176,0.0482237556705642,0.999967817923524,1,0,0,0,62604,3410
IDRiD_20,HE,0,0,0,0,0.99843654697621,1,0,0,0,66672,18989
IDRiD_21,HE,0.0457641833906568,0.0234179432193905,0.156807780320366,0.0267916487469211,0.998782898246363,1,0,0,0,102308,17480
IDRiD_22,HE,0,0,0,0,0.999467769842739,1,0,0,0,254991,6364
IDRiD_23,HE,0,0,0,0,1,0,0,1,0,111482,0
IDRiD_24,HE,0,0,0,0,1,0,0,1,0,27085,0
IDRiD_25,HE,0,0,0,0,0.996053710148836,1,0,0,0,332458,46881
IDRiD_26,HE,0.138117758124705,0.0741817903508185,1,0.0741817903508185,1,1,0,0,0,104527,7754
IDRiD_27,HE,0,0,0,0,0.997736702758239,1,0,0,0,65344,27492
IDRiD_28,HE,0,0,0,0,1,0,0,1,0,32395,0
IDRiD_29,HE,0,0,0,0,0.999757003949607,1,0,0,0,2149,2967
IDRiD_30,HE,0,0,0,0,1,0,0,1,0,53438,0
IDRiD_31,HE,0.0555204382638011,0.0285528525762583,0.581624206750667,0.0291515891857008,0.99962076778642,1,0,0,0,216935,10873
IDRiD_32,HE,0.0370142495016366,0.0188560968882425,0.0637054189139581,0.0260851467289504,0.997265568495707,1,0,0,0,86486,35413
IDRiD_33,HE,0.052749481755567,0.0270892118201226,0.336150568181818,0.0286203226664732,0.998426626985864,1,0,0,0,330744,28160
IDRiD_34,HE,0.0118822304903873,0.00597662305151979,0.96389751552795,0.00597796123353533,0.999992116549609,1,0,0,0,415359,2576
IDRiD_35,HE,0,0,0,0,0.999199626926006,1,0,0,0,368997,9479
IDRiD_36,HE,0.192315417059342,0.106387706613336,0.974326862867877,0.106686778998612,0.999986506372242,1,0,0,0,58339,6388
IDRiD_37,HE,0,0,0,0,0.998046982755679,1,0,0,0,50017,23753
IDRiD_38,HE,0,0,0,0,0.99917602570085,1,0,0,0,14028,10051
IDRiD_39,HE,0.055499776023726,0.0285419231838583,0.834998838019986,0.0287038146594767,0.999881289503635,1,0,0,0,250350,8606
IDRiD_40,HE,0,0,0,0,0.999762789814575,1,0,0,0,3642,2896
IDRiD_41,HE,0,0,0,0,1,0,0,1,0,4266,0
IDRiD_42,HE,0,0,0,0,0.999562002060974,1,0,0,0,4404,5347
IDRiD_44,HE,0,0,0,0,1,0,0,1,0,5906,0
IDRiD_45,HE,0,0,0,0,0.999506844338235,1,0,0,0,13236,6016
IDRiD_46,HE,0.0661029671274687,0.0341812237176258,0.799639206253758,0.034476500601485,0.999861390382589,1,0,0,0,192856,8315
IDRiD_47,HE,0,0,0,0,1,0,0,1,0,68527,0
IDRiD_48,HE,0,0,0,0,0.997669762638994,1,0,0,0,133197,28147
IDRiD_49,HE,0.0402981303688732,0.020563398440018,0.327880085653105,0.0214683498869939,0.99934792625675,1,0,0,0,178309,11675
IDRiD_50,HE,0.123155950839507,0.0656186383171228,0.224275222265172,0.0848841292134832,0.999176058429068,1,0,0,0,34176,12935
IDRiD_51,HE,0,0,0,0,0.999213247562794,1,0,0,0,48296,9570
IDRiD_52,HE,0,0,0,0,1,0,0,1,0,3354,0
IDRiD_53,HE,0.204454187440588,0.113867430176652,0.898159195500256,0.115356830122592,0.999901409668486,1,0,0,0,91360,11734
IDRiD_54,HE,0,0,0,0,1,0,0,1,0,38734,0
IDRiD_01,EX,0,0,0,0,1,0,0,1,0,113286,0
IDRiD_02,EX,0.102449826213701,0.0539905756532786,1,0.0539905756532786,1,1,0,0,0,135394,7310
IDRiD_03,EX,0,0,0,0,1,0,0,1,0,301586,0
IDRiD_04,EX,0,0,0,0,1,0,0,1,0,5557,0
IDRiD_05,EX,0,0,0,0,1,0,0,1,0,8286,0
IDRiD_06,EX,0,0,0,0,1,0,0,1,0,59053,0
IDRiD_07,EX,0,0,0,0,1,0,0,1,0,167489,0
IDRiD_08,EX,0,0,0,0,1,0,0,1,0,20368,0
IDRiD_09,EX,0,0,0,0,1,0,0,1,0,254276,0
IDRiD_10,EX,0,0,0,0,1,0,0,1,0,805250,0
IDRiD_11,EX,0.0635866601040267,0.0328373383894591,0.999059462848783,0.0328383535481566,0.999999245036176,1,0,0,0,291123,9569
IDRiD_12,EX,0,0,0,0,1,0,0,1,0,6626,0
IDRiD_13,EX,0,0,0,0,1,0,0,1,0,214397,0
IDRiD_14,EX,0,0,0,0,1,0,0,1,0,165659,0
IDRiD_15,EX,0,0,0,0,1,0,0,1,0,42697,0
IDRiD_16,EX,0,0,0,0,1,0,0,1,0,115804,0
IDRiD_17,EX,0,0,0,0,1,0,0,1,0,201316,0
IDRiD_18,EX,0.0239603261576181,0.0121254276798135,0.923407301360057,0.0121376351370424,0.999991161365951,1,0,0,0,106281,1397
IDRiD_19,EX,0,0,0,0,1,0,0,1,0,17431,0
IDRiD_20,EX,0.103665267132261,0.0546661226710186,0.990830211003747,0.054693793133477,0.999992268357497,1,0,0,0,183732,10142
IDRiD_21,EX,0,0,0,0,1,0,0,1,0,192428,0
IDRiD_22,EX,0,0,0,0,1,0,0,1,0,94020,0
IDRiD_23,EX,0,0,0,0,1,0,0,1,0,14812,0
IDRiD_24,EX,0,0,0,0,1,0,0,1,0,8245,0
IDRiD_25,EX,0.0397178809925656,0.0202613086185147,1,0.0202613086185147,1,1,0,0,0,616742,12496
IDRiD_26,EX,0,0,0,0,1,0,0,1,0,2506,0
IDRiD_27,EX,0,0,0,0,1,0,0,1,0,69734,0
IDRiD_28,EX,0,0,0,0,1,0,0,1,0,4725,0
IDRiD_29,EX,0,0,0,0,1,0,0,1,0,2343,0
IDRiD_30,EX,0,0,0,0,1,0,0,1,0,22501,0
IDRiD_31,EX,0,0,0,0,1,0,0,1,0,48998,0
IDRiD_32,EX,0,0,0,0,1,0,0,1,0,84975,0
IDRiD_33,EX,0.0488261968107357,0.0250240120746432,0.951108213820078,0.0250562434525752,0.999993829189497,1,0,0,0,58229,1534
IDRiD_34,EX,0,0,0,0,1,0,0,1,0,26720,0
IDRiD_35,EX,0,0,0,0,1,0,0,1,0,19873,0
IDRiD_36,EX,0,0,0,0,1,0,0,1,0,5893,0
IDRiD_37,EX,0,0,0,0,1,0,0,1,0,25759,0
IDRiD_38,EX,0,0,0,0,1,0,0,1,0,12551,0
IDRiD_39,EX,0,0,0,0,1,0,0,1,0,18733,0
IDRiD_40,EX,0,0,0,0,1,0,0,1,0,7779,0
IDRiD_41,EX,0,0,0,0,1,0,0,1,0,8250,0
IDRiD_42,EX,0,0,0,0,1,0,0,1,0,25201,0
IDRiD_43,EX,0,0,0,0,1,0,0,1,0,61341,0
IDRiD_44,EX,0,0,0,0,1,0,0,1,0,24798,0
